,city,lat,lng,country,population
2606,Ikniwn,31.1736,-5.6733,Morocco,18235.0
2607,Gikongoro,-2.4697,29.5814,Rwanda,16695.0
2608,Kiangara,-17.9667,47.0333,Madagascar,18197.0
2609,Glencoe,-28.1833,30.15,South Africa,17548.0
2610,Antsampanimahazo,-19.64,47.158,Madagascar,18000.0
2611,Maroaloka,-25.1667,46.2,Madagascar,18000.0
2612,Quibaxi,-8.5,14.5833,Angola,18176.0
2613,Ghouazi,34.4667,-5.3,Morocco,18081.0
2614,Bafanji,5.8361,10.4,Cameroon,17890.0
2615,Alakamisy,-20.2,47.3167,Madagascar,18000.0
2616,Ankofa,-15.4,49.65,Madagascar,18000.0
2617,Vohilengo,-17.3,49.4167,Madagascar,18000.0
2618,Ambongo,-23.45,47.2667,Madagascar,18000.0
2619,Ambiula,-7.4333,14.65,Angola,18118.0
2620,Manampatrana,-21.65,47.5833,Madagascar,18000.0
2621,Analaiva,-20.3333,44.5,Madagascar,18000.0
2622,Tsararivotra,-19.1714,47.55,Madagascar,17024.0
2623,Alatsinainy Ialamarina,-21.5333,47.3,Madagascar,18000.0
2624,Behenjy,-19.2,47.4833,Madagascar,18000.0
2625,Stilfontein,-26.8428,26.7744,South Africa,17942.0
2626,Biro,9.9,2.9333,Benin,18003.0
2627,Tsianisiha,-22.9,43.5833,Madagascar,18000.0
2628,Belobaka,-18.9833,45.6833,Madagascar,18000.0
2629,Amboahangibe,-14.1333,49.8167,Madagascar,18000.0
2630,Antanambe,-16.4333,49.85,Madagascar,18000.0
2631,Batié,9.8833,-2.9167,Burkina Faso,17997.0
2632,Maroteza,-22.3,47.2,Madagascar,18000.0
2633,Ambovombe Afovoany,-20.7667,47.0833,Madagascar,18000.0
2634,Matsakabanja,-15.9167,45.8333,Madagascar,18000.0
2635,Tranoroa,-24.7,45.0667,Madagascar,18000.0
2636,Yoboki,11.5167,42.1,Djibouti,18000.0
2637,Maridi,4.91,29.45,South Sudan,18000.0
2638,Busolwe,0.8492,33.9269,Uganda,16800.0
2639,Beantake,-23.8,44.3,Madagascar,18000.0
2640,Namayingo,0.345,33.88,Uganda,17300.0
2641,Mahazoma,-17.1667,46.5667,Madagascar,18000.0
2642,Bemahatazana-Belobaka,-19.35,46.0,Madagascar,18000.0
2643,Outat Oulad Al Haj,33.3333,-3.6833,Morocco,16388.0
2644,Lobogo,6.6333,1.9,Benin,17622.0
2645,Manambaro,-25.0333,46.8167,Madagascar,17901.0
2646,Nguigmi,14.2532,13.1108,Niger,17897.0
2647,Ambohitralanana,-15.2333,50.45,Madagascar,17850.0
2648,Al Qbab,32.7333,-5.5167,Morocco,16157.0
2649,Douar Oulad Mbarek,34.2833,-4.3167,Morocco,17747.0
2650,Ngara,-2.5122,30.6558,Tanzania,16890.0
2651,Bechem,7.0833,-2.0167,Ghana,17677.0
2652,Sirari,-1.2244,34.4383,Tanzania,17564.0
2653,Beni Fouda,36.2861,5.6071,Algeria,17667.0
2654,Swellendam,-34.0231,20.44,South Africa,17537.0
